# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 CONT 65.754 248.750 20050122 GEODETIC nT 17280
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
2005/01/22,00:00:01,7816.800,3626.075,59380.551,.
2005/01/22,00:00:06,7817.200,3627.200,59380.977,.
2005/01/22,00:00:11,7817.325,3628.650,59381.125,.
2005/01/22,00:00:16,7816.675,3632.125,59380.500,.
2005/01/22,00:00:21,7816.725,3636.625,59380.500,.
2005/01/22,00:00:26,7818.350,3638.975,59380.523,.
2005/01/22,00:00:31,7820.700,3638.875,59381.250,.
2005/01/22,00:00:36,7824.450,3637.150,59382.227,.
2005/01/22,00:00:41,7827.450,3636.300,59382.148,.
2005/01/22,00:00:46,7826.125,3636.475,59381.023,.
2005/01/22,00:00:51,7824.250,3634.800,59381.375,.
2005/01/22,00:00:56,7824.400,3633.500,59382.727,.
2005/01/22,00:01:01,7828.000,3632.500,59384.250,.
2005/01/22,00:01:06,7830.850,3630.900,59385.102,.
2005/01/22,00:01:11,7831.900,3628.225,59385.102,.
2005/01/22,00:01:16,7830.875,3625.675,59385.051,.
2005/01/22,00:01:21,7830.875,3623.100,59384.148,.
2005/01/22,00:01:26,7832.575,3622.300,59382.727,.
2005/01/22,00:01:31,7835.675,3620.925,59381.574,.
2005/01/22,00:01:36,7840.050,3618.975,59380.949,.
2005/01/22,00:01:41,7843.000,3617.625,59380.551,.
2005/01/22,00:01:46,7843.950,3615.675,59380.352,.
2005/01/22,00:01:51,7844.275,3613.475,59381.051,.
2005/01/22,00:01:56,7843.500,3613.675,59382.898,.
2005/01/22,00:02:01,7844.425,3613.450,59385.727,.
2005/01/22,00:02:06,7848.200,3612.750,59388.926,.
2005/01/22,00:02:11,7852.575,3612.250,59391.125,.
2005/01/22,00:02:16,7854.475,3612.100,59392.773,.
2005/01/22,00:02:21,7854.100,3612.300,59394.051,.
2005/01/22,00:02:26,7853.575,3613.025,59394.852,.
2005/01/22,00:02:31,7854.575,3612.700,59395.977,.
2005/01/22,00:02:36,7856.375,3610.100,59397.398,.
2005/01/22,00:02:41,7858.600,3606.675,59398.727,.
2005/01/22,00:02:46,7861.650,3603.425,59400.176,.
2005/01/22,00:02:51,7864.400,3600.800,59401.449,.
2005/01/22,00:02:56,7866.750,3596.575,59403.176,.
2005/01/22,00:03:01,7869.250,3592.400,59405.176,.
2005/01/22,00:03:06,7870.675,3589.375,59406.727,.
2005/01/22,00:03:11,7871.025,3586.950,59406.648,.
2005/01/22,00:03:16,7871.025,3585.600,59406.000,.
2005/01/22,00:03:21,7868.350,3587.225,59405.148,.
2005/01/22,00:03:26,7864.750,3588.100,59404.051,.
2005/01/22,00:03:31,7864.175,3587.050,59403.852,.
2005/01/22,00:03:36,7867.750,3584.425,59403.301,.
2005/01/22,00:03:41,7872.200,3581.550,59401.301,.
2005/01/22,00:03:46,7876.950,3579.750,59397.773,.
2005/01/22,00:03:51,7879.600,3578.800,59394.148,.
2005/01/22,00:03:56,7879.100,3579.000,59391.023,.
2005/01/22,00:04:01,7875.950,3580.525,59387.852,.
2005/01/22,00:04:06,7872.925,3582.750,59386.125,.
2005/01/22,00:04:11,7870.475,3584.350,59386.398,.
2005/01/22,00:04:16,7870.275,3584.900,59388.426,.
2005/01/22,00:04:21,7871.350,3586.750,59391.148,.
2005/01/22,00:04:26,7871.925,3588.525,59393.773,.
2005/01/22,00:04:31,7873.000,3588.200,59396.000,.
2005/01/22,00:04:36,7873.525,3588.425,59396.500,.
2005/01/22,00:04:41,7873.525,3589.450,59395.750,.
2005/01/22,00:04:46,7873.100,3590.925,59394.574,.
2005/01/22,00:04:51,7871.425,3593.625,59393.375,.
2005/01/22,00:04:56,7867.550,3596.900,59392.773,.
2005/01/22,00:05:01,7864.275,3600.250,59392.477,.
2005/01/22,00:05:06,7863.850,3603.125,59393.227,.
2005/01/22,00:05:11,7865.925,3604.900,59394.375,.
2005/01/22,00:05:16,7869.500,3605.675,59395.250,.
2005/01/22,00:05:21,7874.350,3605.025,59394.699,.
2005/01/22,00:05:26,7878.425,3602.950,59393.801,.
2005/01/22,00:05:31,7879.250,3601.025,59393.426,.
2005/01/22,00:05:36,7877.875,3601.900,59393.551,.
2005/01/22,00:05:41,7875.500,3604.475,59394.750,.
2005/01/22,00:05:46,7874.275,3605.425,59395.824,.
2005/01/22,00:05:51,7875.150,3603.275,59396.176,.
